method	R	N	kappa	T	mean_error	standard_error
BINARY	4	16	16	10000	9.091493e-02	1.876780e-03
RANDOM_UNIFORM	4	16	1	10000	7.670003e-02	9.641508e-04
CONSTANT	8	16	256	10000	1.711107e-01	7.831586e-03
RANDOM_NORMAL	8	16	1	10000	1.059534e-02	3.408737e-04
BINARY	2	16	256	10000	3.322987e-01	7.017292e-03
BINARY	16	16	256	10000	1.182696e-01	5.209644e-03
RANDOM_UNIFORM	8	16	256	10000	7.560240e-02	5.229887e-03
RANDOM_UNIFORM	16	16	1	10000	2.341564e-03	7.034963e-05
CONSTANT	8	16	16	10000	1.263747e-01	2.228533e-03
CONSTANT	4	16	1	10000	1.457823e-01	1.073867e-03
RANDOM_UNIFORM	8	16	16	10000	2.789574e-02	6.643399e-04
RANDOM_NORMAL	16	16	1	10000	1.912989e-03	6.710380e-05
RANDOM_NORMAL	2	16	1	10000	2.846442e-01	3.381861e-03
BINARY	16	16	16	10000	3.518077e-02	1.713208e-03
BINARY	8	16	1	10000	2.344661e-03	1.169502e-05
RANDOM_UNIFORM	2	16	1	10000	2.617632e-01	2.767565e-03
CONSTANT	2	16	256	10000	4.444683e-01	1.268312e-02
CONSTANT	2	16	16	10000	4.261052e-01	6.547023e-03
RANDOM_NORMAL	4	16	1	10000	1.051791e-01	1.630547e-03
CONSTANT	16	16	1	10000	3.697307e-02	2.572379e-04
BINARY	2	16	1	10000	1.785472e-01	1.890384e-03
RANDOM_NORMAL	2	16	16	10000	4.260556e-01	9.097675e-03
BINARY	2	32	1	100	1.820739e-01	1.784025e-03
RANDOM_NORMAL	16	32	16	100	4.920899e-02	1.284208e-03
CONSTANT	8	32	256	100	1.788696e-01	3.326892e-03
RANDOM_NORMAL	8	32	1	100	1.932346e-02	1.659477e-04
CONSTANT	4	32	16	100	2.267436e-01	3.530496e-03
BINARY	16	32	1	100	2.845598e-02	4.951962e-04
RANDOM_UNIFORM	8	32	1	100	2.124890e-02	1.753148e-04
RANDOM_NORMAL	2	32	16	100	4.824445e-01	8.303649e-03
BINARY	16	32	256	100	2.387948e-01	4.801179e-03
CONSTANT	8	32	16	100	1.246886e-01	2.240722e-03
RANDOM_UNIFORM	16	32	1	100	5.459859e-03	4.456350e-05
BINARY	8	32	1	100	1.723094e-02	3.155726e-04
CONSTANT	2	32	256	100	5.449181e-01	6.466799e-03
RANDOM_UNIFORM	2	32	1	100	2.923231e-01	1.815590e-03
CONSTANT	2	32	16	100	4.293746e-01	4.137445e-03
BINARY	4	32	256	100	1.399556e-01	3.972415e-03
RANDOM_UNIFORM	4	32	1	100	8.725300e-02	9.945387e-04
CONSTANT	16	32	1	100	3.572792e-02	1.608176e-04
BINARY	4	32	16	100	9.625238e-02	1.690872e-03
RANDOM_NORMAL	4	32	1	100	9.786546e-02	1.360429e-03
BINARY	2	32	256	100	3.128342e-01	4.071178e-03
CONSTANT	4	32	1	100	1.470351e-01	5.381002e-04
BINARY	8	32	16	100	1.072329e-01	2.900696e-03
RANDOM_NORMAL	8	32	256	100	1.409420e-01	4.306595e-03
RANDOM_NORMAL	8	32	16	100	6.172666e-02	1.598583e-03
RANDOM_NORMAL	16	32	1	100	4.948829e-03	2.358405e-05
BINARY	16	32	16	100	1.571761e-01	2.586861e-03
RANDOM_UNIFORM	4	32	16	100	1.852052e-01	4.880473e-03
RANDOM_NORMAL	2	32	1	100	2.907381e-01	1.671831e-03
RANDOM_UNIFORM	8	32	256	100	1.431703e-01	4.841172e-03
BINARY	2	32	16	100	3.087519e-01	3.996704e-03
RANDOM_UNIFORM	8	32	16	100	7.137587e-02	2.028665e-03
CONSTANT	8	32	1	100	7.025417e-02	3.555099e-04
RANDOM_UNIFORM	16	32	256	100	1.000604e-01	5.161068e-03
RANDOM_UNIFORM	16	32	16	100	3.195792e-02	8.323709e-04
CONSTANT	2	32	1	100	2.935603e-01	1.662376e-03
RANDOM_UNIFORM	2	32	256	100	4.725774e-01	6.883112e-03
RANDOM_UNIFORM	2	32	16	100	4.546775e-01	5.227717e-03
RANDOM_NORMAL	4	32	256	100	2.448473e-01	5.258979e-03
CONSTANT	16	32	256	100	1.167100e-01	4.089337e-03
RANDOM_UNIFORM	4	32	256	100	2.269519e-01	4.681391e-03
BINARY	4	32	1	100	3.902931e-02	2.661196e-04
RANDOM_NORMAL	4	32	16	100	1.787560e-01	3.819669e-03
CONSTANT	16	32	16	100	7.073895e-02	1.286505e-03
RANDOM_NORMAL	16	32	256	100	1.176711e-01	3.951970e-03
RANDOM_NORMAL	2	32	256	100	5.594224e-01	6.785858e-03
BINARY	8	32	256	100	1.772417e-01	4.509715e-03
CONSTANT	4	32	256	100	2.717849e-01	4.882961e-03
BINARY	2	32	256	1000	3.190132e-01	5.781128e-03
CONSTANT	4	32	1	1000	1.433507e-01	8.541873e-04
RANDOM_NORMAL	8	32	256	1000	1.493830e-01	6.066265e-03
RANDOM_NORMAL	8	32	16	1000	5.319417e-02	1.287440e-03
RANDOM_NORMAL	16	32	1	1000	3.544342e-03	2.789570e-05
BINARY	16	32	16	1000	1.819921e-01	4.050413e-03
RANDOM_UNIFORM	4	32	16	1000	1.503593e-01	2.759871e-03
RANDOM_NORMAL	2	32	1	1000	2.830072e-01	2.217460e-03
BINARY	2	32	16	1000	2.758932e-01	3.984840e-03
RANDOM_UNIFORM	8	32	256	1000	1.212284e-01	4.091359e-03
RANDOM_UNIFORM	8	32	16	1000	5.557815e-02	1.294847e-03
CONSTANT	8	32	1	1000	7.434124e-02	3.514521e-04
RANDOM_UNIFORM	16	32	256	1000	1.063842e-01	3.248493e-03
RANDOM_UNIFORM	16	32	16	1000	2.370834e-02	5.736391e-04
CONSTANT	2	32	1	1000	2.831889e-01	1.238520e-03
RANDOM_UNIFORM	2	32	256	1000	5.153553e-01	5.763439e-03
RANDOM_UNIFORM	2	32	16	1000	3.977360e-01	6.645437e-03
RANDOM_NORMAL	4	32	256	1000	2.455844e-01	6.335998e-03
CONSTANT	16	32	256	1000	1.419818e-01	5.720673e-03
RANDOM_UNIFORM	4	32	256	1000	1.946075e-01	6.398338e-03
BINARY	4	32	1	1000	3.941467e-02	3.183524e-04
RANDOM_NORMAL	4	32	16	1000	1.552614e-01	3.186644e-03
CONSTANT	16	32	16	1000	5.755388e-02	1.079445e-03
RANDOM_NORMAL	16	32	256	1000	8.865036e-02	3.505968e-03
RANDOM_NORMAL	2	32	256	1000	5.235898e-01	9.069917e-03
CONSTANT	4	32	256	1000	2.915740e-01	7.210574e-03
BINARY	2	32	1	1000	1.905072e-01	1.504533e-03
RANDOM_NORMAL	16	32	16	1000	2.048654e-02	7.285603e-04
CONSTANT	8	32	256	1000	1.702210e-01	2.707688e-03
RANDOM_NORMAL	8	32	1	1000	1.540167e-02	2.151977e-04
BINARY	8	32	16	1000	9.010330e-02	2.502294e-03
CONSTANT	4	32	16	1000	2.496605e-01	4.298805e-03
BINARY	16	32	1	1000	2.666927e-02	2.950991e-04
RANDOM_UNIFORM	8	32	1	1000	1.755785e-02	1.614770e-04
RANDOM_NORMAL	2	32	16	1000	5.000654e-01	7.777495e-03
BINARY	16	32	256	1000	2.497716e-01	6.610765e-03
CONSTANT	8	32	16	1000	1.334123e-01	2.080491e-03
RANDOM_UNIFORM	16	32	1	1000	4.728982e-03	4.710632e-05
BINARY	8	32	1	1000	1.096409e-02	4.599930e-04
CONSTANT	2	32	256	1000	4.837887e-01	7.244788e-03
RANDOM_UNIFORM	2	32	1	1000	2.847417e-01	2.288269e-03
CONSTANT	2	32	16	1000	4.079084e-01	4.094608e-03
BINARY	4	32	256	1000	1.018889e-01	3.843617e-03
RANDOM_UNIFORM	4	32	1	1000	8.536013e-02	7.804941e-04
CONSTANT	16	32	1	1000	3.616392e-02	1.891737e-04
BINARY	4	32	16	1000	6.894641e-02	1.341500e-03
RANDOM_NORMAL	4	32	1	1000	7.898412e-02	8.509090e-04
BINARY	8	32	256	1000	1.468181e-01	5.698021e-03
RANDOM_UNIFORM	4	32	256	10000	2.259580e-01	6.027742e-03
RANDOM_UNIFORM	4	32	16	10000	1.789802e-01	3.371978e-03
BINARY	4	32	1	10000	3.854918e-02	2.851817e-04
RANDOM_NORMAL	4	32	16	10000	1.721419e-01	3.451856e-03
CONSTANT	16	32	16	10000	6.299819e-02	9.925526e-04
RANDOM_NORMAL	16	32	256	10000	9.974016e-02	3.325051e-03
RANDOM_NORMAL	2	32	256	10000	5.192812e-01	6.623620e-03
BINARY	8	32	256	10000	1.288824e-01	2.961702e-03
CONSTANT	4	32	256	10000	3.120227e-01	5.736273e-03
BINARY	2	32	1	10000	1.953810e-01	1.687238e-03
RANDOM_NORMAL	16	32	16	10000	1.747880e-02	8.126508e-04
CONSTANT	8	32	256	10000	1.748434e-01	4.499899e-03
RANDOM_NORMAL	8	32	1	10000	1.533657e-02	1.986633e-04
BINARY	8	32	16	10000	7.703446e-02	1.804273e-03
CONSTANT	4	32	16	10000	2.420574e-01	5.159747e-03
BINARY	16	32	1	10000	1.714236e-02	5.296030e-04
RANDOM_UNIFORM	8	32	1	10000	1.481576e-02	2.596462e-04
RANDOM_NORMAL	2	32	16	10000	4.356197e-01	5.397791e-03
CONSTANT	8	32	16	10000	1.316811e-01	2.971268e-03
RANDOM_UNIFORM	16	32	1	10000	3.551978e-03	3.001612e-05
CONSTANT	2	32	256	10000	4.964374e-01	5.772952e-03
RANDOM_UNIFORM	2	32	1	10000	2.851665e-01	2.744511e-03
CONSTANT	2	32	16	10000	4.025249e-01	4.976466e-03
BINARY	4	32	256	10000	1.311252e-01	5.462498e-03
RANDOM_UNIFORM	4	32	1	10000	8.362645e-02	1.176262e-03
CONSTANT	16	32	1	10000	3.727804e-02	1.316986e-04
BINARY	4	32	16	10000	6.605320e-02	1.373135e-03
RANDOM_NORMAL	4	32	1	10000	9.731663e-02	1.323963e-03
BINARY	16	32	256	10000	2.104050e-01	4.369333e-03
BINARY	2	32	256	10000	2.916738e-01	4.371894e-03
CONSTANT	4	32	1	10000	1.442136e-01	7.388885e-04
RANDOM_NORMAL	8	32	256	10000	6.516506e-02	2.470912e-03
RANDOM_NORMAL	8	32	16	10000	4.018223e-02	9.220459e-04
RANDOM_NORMAL	16	32	1	10000	3.033489e-03	5.783921e-05
BINARY	16	32	16	10000	1.145468e-01	3.211421e-03
RANDOM_NORMAL	2	32	1	10000	2.994119e-01	2.672069e-03
BINARY	8	32	1	10000	4.122568e-03	1.010822e-04
BINARY	2	32	16	10000	2.993693e-01	2.568087e-03
RANDOM_UNIFORM	8	32	256	10000	9.110254e-02	5.435977e-03
RANDOM_UNIFORM	8	32	16	10000	3.521855e-02	8.109885e-04
CONSTANT	8	32	1	10000	7.395867e-02	4.634781e-04
RANDOM_UNIFORM	16	32	256	10000	8.626715e-02	2.840552e-03
RANDOM_UNIFORM	16	32	16	10000	1.663699e-02	6.195487e-04
CONSTANT	2	32	1	10000	2.932639e-01	1.256283e-03
RANDOM_UNIFORM	2	32	256	10000	4.984162e-01	6.596707e-03
RANDOM_UNIFORM	2	32	16	10000	4.385605e-01	7.517671e-03
RANDOM_NORMAL	4	32	256	10000	2.366602e-01	7.665960e-03
CONSTANT	16	32	256	10000	1.046708e-01	3.275394e-03
BINARY	8	64	16	100	1.767655e-01	2.832045e-03
CONSTANT	16	64	256	100	1.117226e-01	1.898256e-03
RANDOM_NORMAL	16	64	16	100	5.673146e-02	1.275126e-03
CONSTANT	2	64	256	100	4.709553e-01	4.822105e-03
CONSTANT	2	64	16	100	4.358673e-01	4.621812e-03
CONSTANT	8	64	1	100	7.339031e-02	2.112561e-04
RANDOM_UNIFORM	2	64	256	100	4.602891e-01	4.303730e-03
BINARY	2	64	256	100	3.154225e-01	3.782724e-03
RANDOM_UNIFORM	2	64	16	100	4.849830e-01	4.225940e-03
RANDOM_NORMAL	2	64	1	100	2.933587e-01	1.349870e-03
CONSTANT	16	64	1	100	3.566542e-02	1.318017e-04
RANDOM_UNIFORM	4	64	256	100	2.591607e-01	2.903818e-03
BINARY	8	64	1	100	3.389705e-02	5.146416e-04
BINARY	4	64	1	100	4.737290e-02	1.912363e-04
BINARY	16	64	1	100	5.286010e-02	4.233477e-04
RANDOM_UNIFORM	4	64	16	100	1.945419e-01	1.676428e-03
BINARY	2	64	1	100	1.900776e-01	1.024041e-03
RANDOM_NORMAL	2	64	16	100	4.821202e-01	4.713423e-03
RANDOM_NORMAL	4	64	256	100	2.587397e-01	5.060681e-03
CONSTANT	4	64	256	100	2.770574e-01	4.194289e-03
RANDOM_UNIFORM	16	64	256	100	1.392807e-01	3.103427e-03
RANDOM_NORMAL	8	64	256	100	1.347740e-01	2.474707e-03
RANDOM_NORMAL	8	64	16	100	8.579704e-02	1.803211e-03
CONSTANT	4	64	16	100	2.356810e-01	2.068097e-03
RANDOM_NORMAL	16	64	1	100	6.521440e-03	5.182458e-05
RANDOM_UNIFORM	8	64	1	100	2.748928e-02	1.550058e-04
CONSTANT	8	64	256	100	1.491473e-01	1.457159e-03
CONSTANT	8	64	16	100	1.210280e-01	1.311389e-03
RANDOM_NORMAL	4	64	16	100	2.108341e-01	2.613245e-03
RANDOM_UNIFORM	16	64	16	100	6.490897e-02	1.465374e-03
CONSTANT	2	64	1	100	2.813770e-01	6.164205e-04
RANDOM_NORMAL	2	64	256	100	5.511415e-01	6.698080e-03
RANDOM_UNIFORM	2	64	1	100	2.923747e-01	1.353326e-03
CONSTANT	16	64	16	100	6.536988e-02	1.508440e-03
BINARY	4	64	256	100	2.106273e-01	3.128688e-03
RANDOM_UNIFORM	4	64	1	100	9.721674e-02	1.117057e-03
BINARY	16	64	256	100	2.943051e-01	3.144586e-03
BINARY	4	64	16	100	1.128362e-01	1.647317e-03
BINARY	16	64	16	100	2.634594e-01	3.770731e-03
BINARY	2	64	16	100	2.789650e-01	1.567659e-03
RANDOM_NORMAL	16	64	256	100	1.246114e-01	2.208039e-03
RANDOM_NORMAL	4	64	1	100	1.031511e-01	1.176169e-03
RANDOM_UNIFORM	8	64	256	100	1.498101e-01	2.925839e-03
BINARY	8	64	256	100	2.464608e-01	4.599974e-03
CONSTANT	4	64	1	100	1.434571e-01	4.186564e-04
RANDOM_UNIFORM	16	64	1	100	7.621198e-03	3.533795e-05
RANDOM_UNIFORM	8	64	16	100	9.571163e-02	1.523807e-03
RANDOM_NORMAL	8	64	1	100	2.419807e-02	1.273632e-04
RANDOM_NORMAL	8	64	256	1000	1.341590e-01	3.330193e-03
RANDOM_NORMAL	8	64	16	1000	7.438661e-02	1.242651e-03
CONSTANT	4	64	16	1000	2.282044e-01	2.873794e-03
RANDOM_NORMAL	16	64	1	1000	5.216069e-03	3.146429e-05
RANDOM_UNIFORM	8	64	1	1000	2.258494e-02	8.191391e-05
CONSTANT	8	64	256	1000	1.571559e-01	2.470841e-03
RANDOM_NORMAL	4	64	16	1000	2.022682e-01	3.696144e-03
CONSTANT	8	64	16	1000	1.149962e-01	9.222776e-04
RANDOM_UNIFORM	16	64	16	1000	4.146616e-02	1.178891e-03
CONSTANT	2	64	1	1000	2.773913e-01	9.653242e-04
RANDOM_NORMAL	2	64	256	1000	5.139227e-01	6.633996e-03
RANDOM_UNIFORM	2	64	1	1000	2.861506e-01	1.513592e-03
CONSTANT	16	64	16	1000	6.365477e-02	6.236142e-04
BINARY	4	64	256	1000	1.658581e-01	4.282971e-03
RANDOM_UNIFORM	4	64	1	1000	9.167851e-02	8.606957e-04
BINARY	16	64	256	1000	2.734955e-01	2.981906e-03
BINARY	4	64	16	1000	9.633775e-02	1.898920e-03
BINARY	16	64	16	1000	2.268958e-01	2.343905e-03
BINARY	2	64	16	1000	2.803326e-01	2.447886e-03
RANDOM_NORMAL	16	64	256	1000	1.206968e-01	2.716921e-03
RANDOM_NORMAL	4	64	1	1000	9.867102e-02	8.718221e-04
CONSTANT	16	64	256	1000	1.173046e-01	1.950865e-03
RANDOM_UNIFORM	8	64	256	1000	1.523776e-01	2.602634e-03
BINARY	8	64	256	1000	2.389239e-01	3.589121e-03
CONSTANT	4	64	1	1000	1.466859e-01	5.080847e-04
RANDOM_UNIFORM	16	64	1	1000	6.444014e-03	6.324561e-05
RANDOM_UNIFORM	8	64	16	1000	7.077842e-02	1.206844e-03
RANDOM_NORMAL	8	64	1	1000	1.933109e-02	1.949223e-04
BINARY	8	64	16	1000	1.769256e-01	2.088610e-03
RANDOM_NORMAL	16	64	16	1000	5.177361e-02	1.785881e-03
CONSTANT	2	64	16	1000	4.261674e-01	4.016488e-03
CONSTANT	2	64	256	1000	4.924734e-01	5.228439e-03
CONSTANT	8	64	1	1000	7.196449e-02	2.968473e-04
RANDOM_UNIFORM	2	64	256	1000	5.116792e-01	7.074349e-03
BINARY	2	64	256	1000	3.038052e-01	3.049032e-03
RANDOM_UNIFORM	2	64	16	1000	4.398886e-01	4.024589e-03
RANDOM_NORMAL	2	64	1	1000	3.052107e-01	1.380350e-03
CONSTANT	16	64	1	1000	3.575941e-02	9.790730e-05
RANDOM_UNIFORM	4	64	256	1000	2.014922e-01	3.561499e-03
BINARY	8	64	1	1000	3.500790e-02	4.764250e-04
BINARY	4	64	1	1000	3.957573e-02	1.488960e-04
BINARY	16	64	1	1000	4.434203e-02	4.989790e-04
RANDOM_UNIFORM	4	64	16	1000	1.663590e-01	3.096387e-03
BINARY	2	64	1	1000	1.831152e-01	8.750145e-04
RANDOM_NORMAL	2	64	16	1000	4.443210e-01	4.516444e-03
RANDOM_NORMAL	4	64	256	1000	2.336314e-01	3.320981e-03
CONSTANT	4	64	256	1000	2.975809e-01	3.699935e-03
RANDOM_UNIFORM	16	64	256	1000	9.966123e-02	3.356776e-03
RANDOM_NORMAL	16	64	256	10000	1.068407e-01	3.220649e-03
RANDOM_NORMAL	4	64	1	10000	9.171582e-02	7.379356e-04
CONSTANT	16	64	256	10000	1.068352e-01	2.250790e-03
BINARY	8	64	256	10000	2.235980e-01	3.879579e-03
CONSTANT	4	64	1	10000	1.430885e-01	4.598680e-04
RANDOM_UNIFORM	16	64	1	10000	5.512610e-03	1.755002e-05
RANDOM_UNIFORM	8	64	16	10000	6.748733e-02	1.225322e-03
RANDOM_NORMAL	8	64	1	10000	1.778377e-02	1.138136e-04
BINARY	8	64	16	10000	1.706073e-01	2.317602e-03
RANDOM_NORMAL	16	64	16	10000	3.227316e-02	8.849098e-04
CONSTANT	2	64	256	10000	5.096533e-01	6.219356e-03
CONSTANT	2	64	16	10000	4.248841e-01	3.135167e-03
CONSTANT	8	64	1	10000	7.163332e-02	2.558506e-04
BINARY	16	64	256	10000	2.743242e-01	4.137030e-03
BINARY	2	64	256	10000	3.022547e-01	1.483109e-03
BINARY	16	64	16	10000	2.321224e-01	3.461214e-03
RANDOM_UNIFORM	2	64	16	10000	4.588726e-01	4.357417e-03
RANDOM_NORMAL	2	64	1	10000	2.895641e-01	2.136605e-03
RANDOM_UNIFORM	4	64	256	10000	2.213167e-01	4.059447e-03
BINARY	2	64	16	10000	2.594112e-01	1.767047e-03
RANDOM_UNIFORM	8	64	256	10000	1.329160e-01	2.529955e-03
BINARY	4	64	1	10000	4.009006e-02	1.531323e-04
BINARY	16	64	1	10000	3.906748e-02	5.648030e-04
RANDOM_UNIFORM	4	64	16	10000	1.704125e-01	2.338473e-03
RANDOM_NORMAL	4	64	256	10000	2.218275e-01	4.192756e-03
CONSTANT	4	64	256	10000	2.550210e-01	1.924862e-03
RANDOM_UNIFORM	16	64	256	10000	8.916611e-02	1.665225e-03
RANDOM_UNIFORM	2	64	256	10000	5.365422e-01	4.880311e-03
RANDOM_NORMAL	8	64	256	10000	1.456220e-01	3.787734e-03
RANDOM_NORMAL	8	64	16	10000	7.091912e-02	1.094384e-03
CONSTANT	4	64	16	10000	2.169422e-01	1.727093e-03
RANDOM_NORMAL	16	64	1	10000	4.455776e-03	3.044597e-05
CONSTANT	16	64	1	10000	3.605500e-02	1.115543e-04
RANDOM_UNIFORM	8	64	1	10000	2.086092e-02	1.556481e-04
BINARY	8	64	1	10000	2.429041e-02	3.319647e-04
CONSTANT	8	64	256	10000	1.640390e-01	3.683995e-03
CONSTANT	8	64	16	10000	1.181315e-01	1.722197e-03
RANDOM_NORMAL	4	64	16	10000	1.879668e-01	3.572577e-03
RANDOM_UNIFORM	16	64	16	10000	3.052214e-02	7.246756e-04
CONSTANT	2	64	1	10000	2.994082e-01	6.408254e-04
RANDOM_NORMAL	2	64	256	10000	4.902182e-01	6.078320e-03
RANDOM_UNIFORM	2	64	1	10000	2.803795e-01	1.997384e-03
BINARY	2	64	1	10000	1.839213e-01	1.110092e-03
RANDOM_NORMAL	2	64	16	10000	4.691181e-01	3.625383e-03
CONSTANT	16	64	16	10000	6.279702e-02	1.020144e-03
BINARY	4	64	256	10000	1.505536e-01	2.441152e-03
RANDOM_UNIFORM	4	64	1	10000	8.272616e-02	9.620244e-04
BINARY	4	64	16	10000	7.861221e-02	1.543896e-03
BINARY	4	128	16	100	1.822557e-01	1.787426e-03
CONSTANT	2	128	16	100	4.230266e-01	2.106464e-03
BINARY	4	128	256	100	2.217769e-01	3.030323e-03
RANDOM_NORMAL	2	128	16	100	4.557332e-01	3.964048e-03
BINARY	16	128	256	100	3.393341e-01	2.937487e-03
BINARY	2	128	256	100	2.964739e-01	2.038652e-03
BINARY	8	128	1	100	5.690154e-02	3.310961e-04
RANDOM_NORMAL	8	128	16	100	1.132001e-01	1.711777e-03
RANDOM_UNIFORM	4	128	1	100	9.909586e-02	5.761675e-04
BINARY	16	128	16	100	3.021533e-01	2.858838e-03
CONSTANT	16	128	1	100	3.639367e-02	8.267072e-05
RANDOM_UNIFORM	8	128	256	100	1.729782e-01	2.171927e-03
CONSTANT	4	128	1	100	1.428467e-01	2.742971e-04
CONSTANT	8	128	1	100	7.241552e-02	1.402158e-04
RANDOM_NORMAL	4	128	1	100	1.006377e-01	8.801743e-04
RANDOM_UNIFORM	8	128	16	100	1.161344e-01	1.079028e-03
RANDOM_UNIFORM	16	128	256	100	1.264930e-01	2.196851e-03
RANDOM_NORMAL	16	128	1	100	8.405156e-03	3.613115e-05
RANDOM_UNIFORM	2	128	256	100	4.908334e-01	3.233574e-03
RANDOM_NORMAL	8	128	256	100	1.766920e-01	2.427815e-03
RANDOM_UNIFORM	16	128	16	100	6.956669e-02	8.938096e-04
RANDOM_NORMAL	2	128	1	100	3.058237e-01	9.318330e-04
BINARY	2	128	16	100	2.769494e-01	1.589900e-03
CONSTANT	2	128	1	100	2.865900e-01	8.808417e-04
RANDOM_UNIFORM	2	128	16	100	4.156827e-01	2.484184e-03
RANDOM_UNIFORM	4	128	256	100	2.883960e-01	2.555344e-03
RANDOM_UNIFORM	4	128	16	100	2.125581e-01	2.564466e-03
CONSTANT	16	128	16	100	7.240213e-02	9.627705e-04
CONSTANT	16	128	256	100	1.148173e-01	2.000120e-03
BINARY	8	128	256	100	3.044572e-01	3.488959e-03
BINARY	4	128	1	100	5.800806e-02	1.830538e-04
BINARY	2	128	1	100	1.920739e-01	6.224885e-04
BINARY	8	128	16	100	2.603874e-01	2.023691e-03
CONSTANT	4	128	256	100	2.568778e-01	1.770764e-03
RANDOM_NORMAL	4	128	256	100	2.711680e-01	2.673191e-03
RANDOM_NORMAL	4	128	16	100	2.399426e-01	2.941764e-03
RANDOM_UNIFORM	8	128	1	100	3.174876e-02	7.639554e-05
CONSTANT	8	128	256	100	1.689725e-01	1.935826e-03
CONSTANT	4	128	16	100	2.178140e-01	1.680678e-03
RANDOM_NORMAL	16	128	256	100	1.363956e-01	1.780716e-03
CONSTANT	8	128	16	100	1.252148e-01	9.546139e-04
RANDOM_NORMAL	2	128	256	100	4.998747e-01	3.755177e-03
RANDOM_NORMAL	8	128	1	100	2.875140e-02	1.358041e-04
RANDOM_UNIFORM	16	128	1	100	9.596865e-03	3.402342e-05
BINARY	16	128	1	100	7.435576e-02	4.070169e-04
RANDOM_UNIFORM	2	128	1	100	2.870076e-01	1.153858e-03
RANDOM_NORMAL	16	128	16	100	7.566426e-02	1.034473e-03
CONSTANT	2	128	256	100	4.554239e-01	1.903626e-03
RANDOM_NORMAL	8	128	256	1000	1.632910e-01	1.362471e-03
RANDOM_NORMAL	8	128	16	1000	1.119194e-01	1.385124e-03
RANDOM_UNIFORM	16	128	16	1000	5.084068e-02	7.136609e-04
RANDOM_NORMAL	2	128	1	1000	3.047582e-01	1.668259e-03
BINARY	2	128	16	1000	2.816552e-01	1.376039e-03
CONSTANT	2	128	1	1000	2.941565e-01	7.063640e-04
RANDOM_UNIFORM	2	128	16	1000	4.336517e-01	2.767715e-03
RANDOM_UNIFORM	4	128	256	1000	2.635120e-01	3.329166e-03
RANDOM_UNIFORM	4	128	16	1000	1.994415e-01	2.065410e-03
CONSTANT	16	128	256	1000	1.091441e-01	2.161438e-03
CONSTANT	16	128	16	1000	6.204042e-02	3.969240e-04
BINARY	8	128	256	1000	2.996708e-01	1.853524e-03
BINARY	4	128	1	1000	5.183206e-02	2.603477e-04
BINARY	2	128	1	1000	1.874893e-01	6.429228e-04
BINARY	8	128	16	1000	2.508845e-01	3.035980e-03
CONSTANT	4	128	256	1000	2.710870e-01	2.393422e-03
RANDOM_NORMAL	4	128	256	1000	2.706768e-01	4.059714e-03
RANDOM_NORMAL	4	128	16	1000	2.208261e-01	2.580745e-03
RANDOM_UNIFORM	8	128	1	1000	2.752234e-02	9.367639e-05
CONSTANT	8	128	256	1000	1.488159e-01	1.864944e-03
CONSTANT	4	128	16	1000	2.183590e-01	1.075098e-03
RANDOM_NORMAL	16	128	256	1000	1.098742e-01	2.471337e-03
CONSTANT	8	128	16	1000	1.133451e-01	1.130446e-03
RANDOM_NORMAL	2	128	256	1000	4.960638e-01	3.583445e-03
RANDOM_NORMAL	8	128	1	1000	2.519694e-02	1.066126e-04
RANDOM_UNIFORM	16	128	1	1000	7.666451e-03	3.221973e-05
BINARY	16	128	1	1000	7.178863e-02	3.642343e-04
RANDOM_UNIFORM	2	128	1	1000	2.937909e-01	1.277748e-03
RANDOM_NORMAL	16	128	16	1000	7.433780e-02	1.441761e-03
CONSTANT	2	128	256	1000	4.573163e-01	2.186989e-03
CONSTANT	2	128	16	1000	4.241453e-01	2.675431e-03
BINARY	4	128	256	1000	2.074951e-01	3.569797e-03
RANDOM_NORMAL	2	128	16	1000	4.452716e-01	3.518684e-03
BINARY	16	128	256	1000	3.664549e-01	2.851829e-03
BINARY	8	128	1	1000	5.398235e-02	3.047403e-04
BINARY	4	128	16	1000	1.565452e-01	2.188397e-03
RANDOM_UNIFORM	4	128	1	1000	9.411820e-02	5.567751e-04
BINARY	16	128	16	1000	3.147593e-01	2.193581e-03
CONSTANT	16	128	1	1000	3.622811e-02	1.182668e-04
RANDOM_UNIFORM	8	128	256	1000	1.635023e-01	2.510534e-03
CONSTANT	4	128	1	1000	1.412101e-01	4.089338e-04
CONSTANT	8	128	1	1000	7.177938e-02	1.484594e-04
RANDOM_NORMAL	4	128	1	1000	9.791476e-02	5.675179e-04
RANDOM_UNIFORM	8	128	16	1000	1.010856e-01	1.345514e-03
RANDOM_UNIFORM	16	128	256	1000	1.161405e-01	1.408815e-03
RANDOM_NORMAL	16	128	1	1000	6.282766e-03	2.976062e-05
RANDOM_UNIFORM	2	128	256	1000	4.673612e-01	2.939558e-03
BINARY	2	128	256	1000	3.022416e-01	2.551216e-03
RANDOM_UNIFORM	8	128	1	10000	2.599747e-02	7.565511e-05
CONSTANT	8	128	256	10000	1.423801e-01	1.265644e-03
CONSTANT	4	128	16	10000	2.234041e-01	1.707937e-03
RANDOM_NORMAL	16	128	256	10000	1.113785e-01	1.588518e-03
CONSTANT	8	128	16	10000	1.152206e-01	1.179886e-03
CONSTANT	16	128	256	10000	1.100057e-01	8.835642e-04
