method	R	N	kappa	T	mean_error	standard_error
RANDOM_NORMAL	16	4	1	1000	5.896768e-04	6.964089e-05
BINARY	16	4	256	1000	2.302396e-02	9.462052e-04
BINARY	16	4	16	1000	1.203625e-03	5.917652e-05
RANDOM_UNIFORM	8	4	256	1000	6.040670e-02	4.109910e-03
RANDOM_UNIFORM	16	4	1	1000	8.910979e-04	7.899083e-05
BINARY	8	4	1	1000	2.024821e-03	3.682932e-05
RANDOM_UNIFORM	8	4	16	1000	2.045852e-02	1.423148e-03
CONSTANT	4	4	1	1000	1.282185e-01	2.599116e-03
RANDOM_UNIFORM	2	4	1	1000	2.816740e-01	7.580517e-03
CONSTANT	2	4	256	1000	5.540938e-01	1.939571e-02
CONSTANT	2	4	16	1000	3.779934e-01	1.760169e-02
CONSTANT	16	4	1	1000	3.631375e-02	4.417909e-04
BINARY	2	4	1	1000	1.779216e-01	4.227844e-03
RANDOM_NORMAL	4	4	256	1000	3.490019e-01	1.765434e-02
CONSTANT	16	4	256	10000	2.454796e-01	1.117617e-02
CONSTANT	16	4	16	10000	7.348570e-02	3.596221e-03
BINARY	2	4	16	10000	3.251319e-01	1.200560e-02
RANDOM_NORMAL	16	4	256	10000	8.770190e-03	3.577828e-04
BINARY	4	4	256	10000	3.764266e-01	1.544021e-02
BINARY	4	4	16	10000	9.832856e-02	4.107318e-03
RANDOM_UNIFORM	4	4	1	10000	7.569828e-02	1.903165e-03
RANDOM_NORMAL	4	4	1	10000	7.389268e-02	2.478536e-03
RANDOM_NORMAL	8	4	1	10000	8.496191e-03	4.101941e-04
CONSTANT	4	4	256	10000	5.095309e-01	1.868529e-02
BINARY	8	4	16	10000	5.011636e-03	2.126409e-04
CONSTANT	8	4	256	10000	3.259467e-01	1.959157e-02
BINARY	2	4	256	10000	3.687804e-01	9.043923e-03
CONSTANT	8	4	16	10000	1.450147e-01	5.937937e-03
RANDOM_NORMAL	16	4	1	10000	6.521138e-04	6.405189e-05
RANDOM_NORMAL	2	4	1	10000	2.941605e-01	7.380942e-03
BINARY	16	4	16	10000	9.680973e-04	3.871791e-05
RANDOM_UNIFORM	8	4	256	10000	7.803616e-02	3.641840e-03
RANDOM_UNIFORM	16	4	1	10000	1.469053e-03	1.574315e-04
BINARY	8	4	1	10000	2.304836e-03	3.740259e-05
RANDOM_UNIFORM	8	4	16	10000	2.432277e-02	2.094689e-03
CONSTANT	4	4	1	10000	1.224012e-01	2.534730e-03
RANDOM_UNIFORM	2	4	1	10000	2.388939e-01	7.975920e-03
CONSTANT	2	4	256	10000	3.902568e-01	1.219448e-02
CONSTANT	2	4	16	10000	6.477815e-01	1.583488e-02
CONSTANT	16	4	1	10000	3.521215e-02	5.849333e-04
BINARY	2	4	1	10000	2.025677e-01	5.069839e-03
RANDOM_NORMAL	4	4	256	10000	3.017374e-01	1.531230e-02
RANDOM_NORMAL	4	4	16	10000	1.951039e-01	6.134792e-03
RANDOM_NORMAL	8	4	256	10000	9.513716e-02	9.602209e-03
BINARY	16	4	256	10000	1.594051e-02	7.494604e-04
RANDOM_UNIFORM	4	4	256	10000	3.734781e-01	2.008751e-02
BINARY	4	4	1	10000	4.207992e-02	6.181142e-04
RANDOM_NORMAL	8	4	16	10000	2.257944e-02	1.494886e-03
RANDOM_UNIFORM	4	4	16	10000	2.055482e-01	9.124629e-03
RANDOM_NORMAL	2	4	256	10000	4.898635e-01	1.495762e-02
CONSTANT	8	4	1	10000	6.779745e-02	1.349114e-03
BINARY	8	4	256	10000	4.972527e-02	2.523063e-03
RANDOM_UNIFORM	16	4	256	10000	6.395370e-03	3.227097e-04
RANDOM_UNIFORM	16	4	16	10000	2.460305e-03	2.856048e-04
CONSTANT	4	4	16	10000	2.766104e-01	1.120351e-02
RANDOM_UNIFORM	2	4	256	10000	4.281146e-01	1.785079e-02
RANDOM_UNIFORM	2	4	16	10000	4.653002e-01	1.580942e-02
BINARY	16	4	1	10000	9.277247e-05	1.570401e-06
RANDOM_UNIFORM	8	4	1	10000	8.302239e-03	3.196989e-04
RANDOM_NORMAL	16	4	16	10000	1.663909e-03	1.783375e-04
RANDOM_NORMAL	2	4	16	10000	4.674062e-01	1.616844e-02
CONSTANT	2	4	1	10000	2.762898e-01	3.484561e-03
RANDOM_UNIFORM	16	8	256	100	7.682286e-02	5.820036e-03
RANDOM_UNIFORM	16	8	16	100	8.807260e-03	5.082591e-04
RANDOM_UNIFORM	2	8	16	100	5.068262e-01	1.813863e-02
RANDOM_UNIFORM	8	8	1	100	1.303845e-02	5.046880e-04
BINARY	8	8	16	100	6.664624e-03	2.664252e-04
RANDOM_UNIFORM	4	8	256	100	2.630169e-01	8.756428e-03
CONSTANT	4	8	256	100	3.415078e-01	9.567685e-03
CONSTANT	16	8	256	100	1.677756e-01	8.132828e-03
RANDOM_UNIFORM	4	8	16	100	1.544638e-01	4.292217e-03
CONSTANT	4	8	16	100	2.657297e-01	1.116803e-02
CONSTANT	16	8	16	100	9.098112e-02	3.158401e-03
RANDOM_NORMAL	16	8	256	100	9.211554e-02	4.996630e-03
RANDOM_NORMAL	4	8	1	100	8.740619e-02	1.926392e-03
BINARY	4	8	256	100	2.297471e-01	1.021341e-02
BINARY	4	8	16	100	7.036179e-02	2.234814e-03
BINARY	8	8	256	100	7.986508e-02	4.548790e-03
CONSTANT	8	8	16	100	1.276345e-01	4.824544e-03
RANDOM_NORMAL	8	8	1	100	1.021537e-02	4.155457e-04
RANDOM_UNIFORM	2	8	256	100	5.367584e-01	1.808056e-02
BINARY	16	8	1	100	4.483895e-04	2.420389e-05
RANDOM_NORMAL	16	8	16	100	7.222999e-03	3.206427e-04
CONSTANT	2	8	256	100	4.793039e-01	1.155981e-02
BINARY	2	8	256	100	3.429378e-01	9.032798e-03
CONSTANT	2	8	16	100	4.792398e-01	1.052927e-02
RANDOM_NORMAL	2	8	1	100	3.020049e-01	5.114716e-03
CONSTANT	8	8	256	100	2.399405e-01	9.376132e-03
RANDOM_UNIFORM	16	8	1	100	2.655042e-03	1.294979e-04
BINARY	2	8	16	100	2.992942e-01	6.538323e-03
RANDOM_UNIFORM	8	8	16	100	2.684293e-02	9.271450e-04
RANDOM_UNIFORM	2	8	1	100	3.374282e-01	4.305860e-03
RANDOM_UNIFORM	4	8	1	100	7.422449e-02	1.269813e-03
CONSTANT	4	8	1	100	1.415248e-01	9.360332e-04
CONSTANT	16	8	1	100	3.574280e-02	2.952309e-04
RANDOM_NORMAL	4	8	256	100	2.707659e-01	1.045549e-02
CONSTANT	8	8	1	100	6.691247e-02	8.321691e-04
RANDOM_NORMAL	8	8	256	100	1.297238e-01	6.879090e-03
RANDOM_NORMAL	16	8	1	100	1.619896e-03	5.896571e-05
BINARY	16	8	256	100	9.197573e-02	4.380592e-03
BINARY	16	8	16	100	2.716452e-02	8.774161e-04
RANDOM_UNIFORM	8	8	256	100	1.229398e-01	7.488348e-03
BINARY	4	8	1	100	4.126181e-02	5.907890e-04
BINARY	8	8	1	100	2.306248e-03	1.926068e-05
RANDOM_NORMAL	4	8	16	100	1.609346e-01	4.751209e-03
RANDOM_NORMAL	8	8	16	100	2.282828e-02	7.516600e-04
CONSTANT	2	8	1	100	2.981992e-01	3.284707e-03
RANDOM_NORMAL	2	8	256	100	5.699044e-01	1.795408e-02
BINARY	2	8	1	100	1.840245e-01	1.916778e-03
RANDOM_NORMAL	2	8	16	100	5.777488e-01	1.344120e-02
CONSTANT	2	8	16	1000	5.821514e-01	1.825628e-02
RANDOM_NORMAL	2	8	1	1000	3.167393e-01	4.364521e-03
CONSTANT	8	8	256	1000	3.143926e-01	1.213556e-02
RANDOM_UNIFORM	16	8	1	1000	1.679718e-03	8.965695e-05
BINARY	2	8	16	1000	2.688270e-01	6.035435e-03
RANDOM_UNIFORM	8	8	16	1000	2.612159e-02	1.438702e-03
RANDOM_UNIFORM	2	8	1	1000	2.401563e-01	4.748312e-03
RANDOM_UNIFORM	4	8	1	1000	6.906444e-02	1.451707e-03
CONSTANT	4	8	1	1000	1.331024e-01	2.084700e-03
CONSTANT	16	8	1	1000	3.424610e-02	2.486258e-04
RANDOM_NORMAL	4	8	256	1000	2.514181e-01	1.014141e-02
CONSTANT	8	8	1	1000	7.135800e-02	7.893369e-04
RANDOM_NORMAL	8	8	256	1000	7.889097e-02	4.594807e-03
RANDOM_NORMAL	16	8	1	1000	8.593091e-04	3.669543e-05
BINARY	16	8	256	1000	2.727053e-02	1.689083e-03
BINARY	16	8	16	1000	1.950117e-03	1.175960e-04
RANDOM_UNIFORM	8	8	256	1000	1.388663e-01	5.465777e-03
BINARY	4	8	1	1000	3.823040e-02	5.112333e-04
BINARY	8	8	1	1000	2.340371e-03	2.027749e-05
RANDOM_NORMAL	4	8	16	1000	1.676142e-01	7.068809e-03
RANDOM_NORMAL	8	8	16	1000	2.458269e-02	1.070991e-03
CONSTANT	2	8	1	1000	3.044218e-01	3.069979e-03
RANDOM_NORMAL	2	8	256	1000	5.176067e-01	1.105200e-02
BINARY	2	8	1	1000	1.749061e-01	2.972935e-03
RANDOM_NORMAL	2	8	16	1000	4.553822e-01	1.174236e-02
RANDOM_UNIFORM	16	8	256	1000	4.537605e-02	2.866074e-03
RANDOM_UNIFORM	16	8	16	1000	3.708660e-03	1.961091e-04
RANDOM_UNIFORM	2	8	16	1000	5.479980e-01	1.721457e-02
RANDOM_UNIFORM	8	8	1	1000	1.358140e-02	4.050998e-04
RANDOM_UNIFORM	4	8	256	1000	3.496609e-01	1.185281e-02
CONSTANT	4	8	256	1000	4.182380e-01	1.016729e-02
CONSTANT	16	8	256	1000	1.505706e-01	7.846544e-03
RANDOM_UNIFORM	4	8	16	1000	1.719984e-01	6.886692e-03
CONSTANT	4	8	16	1000	2.472025e-01	7.785582e-03
CONSTANT	16	8	16	1000	8.227857e-02	2.885154e-03
RANDOM_NORMAL	16	8	256	1000	2.885800e-02	1.224279e-03
RANDOM_NORMAL	4	8	1	1000	1.043677e-01	3.011941e-03
BINARY	4	8	256	1000	2.007807e-01	9.308778e-03
BINARY	4	8	16	1000	8.901945e-02	2.817803e-03
BINARY	8	8	256	1000	3.450833e-02	2.467373e-03
CONSTANT	8	8	16	1000	1.484076e-01	6.468863e-03
RANDOM_NORMAL	8	8	1	1000	5.791745e-03	1.660346e-04
BINARY	8	8	16	1000	5.244499e-03	2.233143e-04
RANDOM_UNIFORM	2	8	256	1000	5.497173e-01	1.929936e-02
BINARY	16	8	1	1000	1.087780e-04	2.228135e-06
RANDOM_NORMAL	16	8	16	1000	2.768999e-03	1.101672e-04
CONSTANT	2	8	256	1000	6.496336e-01	1.843573e-02
BINARY	2	8	256	1000	4.332846e-01	1.008157e-02
BINARY	16	8	256	10000	2.452808e-02	1.007817e-03
BINARY	16	8	16	10000	1.515774e-03	5.790113e-05
RANDOM_UNIFORM	8	8	256	10000	1.159233e-01	5.611903e-03
BINARY	4	8	1	10000	4.175067e-02	4.402040e-04
BINARY	8	8	1	10000	2.241603e-03	2.080097e-05
RANDOM_NORMAL	4	8	16	10000	1.945677e-01	4.636209e-03
RANDOM_NORMAL	8	8	16	10000	2.013685e-02	9.010245e-04
RANDOM_UNIFORM	2	8	1	10000	2.737999e-01	6.272311e-03
RANDOM_NORMAL	2	8	256	10000	4.956738e-01	1.222165e-02
BINARY	2	8	1	10000	1.975290e-01	2.586932e-03
RANDOM_NORMAL	2	8	16	10000	5.964036e-01	1.270632e-02
RANDOM_UNIFORM	16	8	256	10000	3.019705e-02	1.841520e-03
RANDOM_UNIFORM	16	8	16	10000	3.718374e-03	2.065038e-04
RANDOM_NORMAL	4	8	256	10000	1.900871e-01	1.067301e-02
CONSTANT	8	8	1	10000	7.156068e-02	6.861579e-04
RANDOM_UNIFORM	4	8	256	10000	2.432310e-01	1.307716e-02
CONSTANT	4	8	256	10000	3.029465e-01	8.715277e-03
CONSTANT	16	8	256	10000	1.575569e-01	1.113057e-02
CONSTANT	2	8	1	10000	2.842680e-01	3.460386e-03
RANDOM_UNIFORM	4	8	16	10000	2.066243e-01	8.172346e-03
CONSTANT	4	8	16	10000	2.843495e-01	8.597752e-03
CONSTANT	16	8	16	10000	7.808269e-02	2.469551e-03
RANDOM_NORMAL	16	8	256	10000	1.453238e-02	9.342420e-04
RANDOM_NORMAL	4	8	1	10000	8.065637e-02	1.762159e-03
BINARY	4	8	16	10000	7.670556e-02	2.706289e-03
BINARY	8	8	256	10000	3.859097e-02	1.870303e-03
RANDOM_NORMAL	8	8	1	10000	1.058820e-02	4.631668e-04
RANDOM_UNIFORM	2	8	256	10000	4.594307e-01	1.653737e-02
BINARY	8	8	16	10000	5.494969e-03	1.343424e-04
RANDOM_UNIFORM	2	8	16	10000	4.488114e-01	1.353741e-02
BINARY	16	8	1	10000	1.362196e-04	2.267003e-06
RANDOM_UNIFORM	8	8	1	10000	1.207134e-02	3.287063e-04
RANDOM_NORMAL	16	8	16	10000	3.994325e-03	2.099277e-04
BINARY	2	8	256	10000	3.403769e-01	9.996877e-03
RANDOM_NORMAL	2	8	1	10000	3.338579e-01	4.487470e-03
CONSTANT	8	8	256	10000	2.205879e-01	8.171072e-03
RANDOM_UNIFORM	16	8	1	10000	1.595590e-03	1.249412e-04
RANDOM_UNIFORM	8	8	16	10000	3.398505e-02	1.330385e-03
BINARY	2	8	16	10000	3.161974e-01	6.380398e-03
BINARY	4	8	256	10000	2.504585e-01	1.488136e-02
CONSTANT	8	8	16	10000	1.495375e-01	4.803843e-03
RANDOM_UNIFORM	4	8	1	10000	8.215063e-02	2.125168e-03
CONSTANT	4	8	1	10000	1.375293e-01	2.085893e-03
CONSTANT	16	8	1	10000	3.540957e-02	4.330738e-04
CONSTANT	2	8	256	10000	6.030905e-01	1.635543e-02
CONSTANT	2	8	16	10000	4.078326e-01	8.995840e-03
RANDOM_NORMAL	8	8	256	10000	1.103054e-01	6.142492e-03
RANDOM_NORMAL	16	8	1	10000	7.266497e-04	4.856752e-05
